date,cmcrbind,cfnai,cpiaucsl,fedfunds
1993m2,269.988421052632,.13,143.10001,3.03
1993m3,266.940434782609,-.47999999,143.3,3.0699999
1993m4,261.54619047619,.25,143.8,2.96
1993m5,257.832,-.090000004,144.2,3
1993m6,257.052727272727,.02,144.3,3.04
1993m7,257.194761904762,.0099999998,144.5,3.0599999
1993m8,255.528636363636,-.0099999998,144.8,3.03
1993m9,253.132857142857,.34999999,145,3.0899999
1993m10,255.644761904762,.34999999,145.60001,2.99
1993m11,258.130952380952,.25999999,146,3.02
1993m12,263.70619047619,.47,146.3,2.96
1994m1,268.775238095238,.1,146.3,3.05
1994m2,275.177368421053,.18000001,146.7,3.25
1994m3,279.08,.95999998,147.10001,3.3399999
1994m4,280.752631578947,.23999999,147.2,3.5599999
1994m5,287.992380952381,.41999999,147.5,4.0100002
1994m6,290.939090909091,.41999999,147.89999,4.25
1994m7,299.525,.050000001,148.39999,4.2600002
1994m8,305.275217391304,.75999999,149,4.4699998
1994m9,313.584285714286,.14,149.3,4.73
1994m10,318.889523809524,.61000001,149.39999,4.7600002
1994m11,329.721904761905,.47,149.8,5.29
1994m12,340.210476190476,.60000002,150.10001,5.4499998
1995m1,347.949047619048,.11,150.5,5.5300002
1995m2,340.479473684211,-.27000001,150.89999,5.9200001
1995m3,344.595652173913,-.079999998,151.2,5.98
1995m4,350.126842105263,-.5,151.8,6.0500002
1995m5,352.093181818182,-.039999999,152.10001,6.0100002
1995m6,354.166363636364,.22,152.39999,6
1995m7,345.5915,-.56,152.60001,5.8499999
1995m8,339.406086956522,.69999999,152.89999,5.7399998
1995m9,334.3325,.12,153.10001,5.8000002
1995m10,332.304090909091,-.27000001,153.5,5.7600002
1995m11,339.240952380952,.02,153.7,5.8000002
1995m12,333.593,.1,153.89999,5.5999999
1996m1,330.620454545455,-.89999998,154.7,5.5599999
1996m2,327.8985,.74000001,155,5.2199998
1996m3,330.35380952381,-.11,155.5,5.3099999
1996m4,333.505238095238,.37,156.10001,5.2199998
1996m5,340.915909090909,.36000001,156.39999,5.2399998
1996m6,336.134,.37,156.7,5.27
1996m7,334.421818181818,-.0099999998,157,5.4000001
1996m8,343.265909090909,.22,157.2,5.2199998
1996m9,343.728,.31999999,157.7,5.3000002
1996m10,334.709565217391,.0099999998,158.2,5.2399998
1996m11,330.338,.46000001,158.7,5.3099999
1996m12,333.01619047619,.050000001,159.10001,5.29
1997m1,339.386363636364,.25999999,159.39999,5.25
1997m2,344.535789473684,.79000002,159.7,5.1900001
1997m3,340.991,.28,159.8,5.3899999
1997m4,333.629545454546,.059999999,159.89999,5.5100002
1997m5,336.841428571428,.19,159.89999,5.5
1997m6,337.300476190476,.38999999,160.2,5.5599999
1997m7,334.887272727273,.58999997,160.39999,5.52
1997m8,340.474761904762,.30000001,160.8,5.54
1997m9,337.331428571429,.58999997,161.2,5.54
1997m10,334.467391304348,.40000001,161.5,5.5
1997m11,327.643157894737,.64999998,161.7,5.52
1997m12,310.56,-.0099999998,161.8,5.5
1998m1,299.607,.31,162,5.5599999
1998m2,296.851578947368,.31,162,5.5100002
1998m3,302.893636363636,.0099999998,162,5.4899998
1998m4,301.252857142857,.20999999,162.2,5.4499998
1998m5,305.402,.28,162.60001,5.4899998
1998m6,299.718181818182,-.44,162.8,5.5599999
1998m7,295.559545454545,-.46000001,163.2,5.54
1998m8,290.16619047619,1.03,163.39999,5.5500002
1998m9,280.984761904762,-.07,163.5,5.5100002
1998m10,275.726363636364,.30000001,163.89999,5.0700002
1998m11,268.8785,.059999999,164.10001,4.8299999
1998m12,265.940454545455,.2,164.39999,4.6799998
1999m1,262.812105263158,.11,164.7,4.6300001
1999m2,259.646842105263,.47999999,164.7,4.7600002
1999m3,255.028695652174,-.12,164.8,4.8099999
1999m4,251.747142857143,.0099999998,165.89999,4.7399998
1999m5,250.073,.56999999,166,4.7399998
1999m6,248.910454545455,-.12,166,4.7600002
1999m7,253.433333333333,.18000001,166.7,4.9899998
1999m8,255.959545454545,.34,167.10001,5.0700002
1999m9,262.562380952381,-.19,167.8,5.2199998
1999m10,266.374761904762,.77999997,168.10001,5.1999998
1999m11,270.390476190476,.34,168.39999,5.4200001
1999m12,267.300952380952,.56999999,168.8,5.3000002
2000m1,267.851,.20999999,169.3,5.4499998
2000m2,260.911,-.23999999,170,5.73
2000m3,260.39347826087,.43000001,171,5.8499999
2000m4,258.234210526316,.47,170.89999,6.02
2000m5,265.368636363636,-.40000001,171.2,6.27
2000m6,261.780454545455,.14,172.2,6.5300002
2000m7,255.1895,-.27000001,172.7,6.54
2000m8,255.693043478261,-.38999999,172.7,6.5
2000m9,258.8085,.34999999,173.60001,6.52
2000m10,257.291818181818,-.49000001,173.89999,6.5100002
2000m11,252.577142857143,-.34999999,174.2,6.5100002
2000m12,256.0045,-.23,174.60001,6.4000001
2001m1,254.540952380952,-.75,175.60001,5.98
2001m2,248.531052631579,-.51999998,176,5.4899998
2001m3,246.354545454545,-.69,176.10001,5.3099999
2001m4,244.0265,-.83999997,176.39999,4.8000002
2001m5,244.288636363636,-.46000001,177.3,4.21
2001m6,245.919523809524,-.93000001,177.7,3.97
2001m7,244.221904761905,-.47,177.39999,3.77
2001m8,238.103043478261,-.43000001,177.39999,3.6500001
2001m9,228.301176470588,-.99000001,178.10001,3.0699999
2001m10,220.51652173913,-.25,177.60001,2.49
2001m11,218.939047619048,-.72000003,177.5,2.0899999
2001m12,221.5705,-.28,177.39999,1.8200001
2002m1,219.054285714286,-.079999998,177.7,1.73
2002m2,222.334736842105,-.1,178,1.74
2002m3,231.0265,0,178.5,1.73
2002m4,230.376818181818,.16,179.3,1.75
2002m5,231.814090909091,.039999999,179.5,1.75
2002m6,243.7205,.34,179.60001,1.75
2002m7,245.382727272727,-.34999999,180,1.73
2002m8,240.528181818182,-.02,180.5,1.74
2002m9,240.7655,-.30000001,180.8,1.75
2002m10,240.679565217391,-.38,181.2,1.75
2002m11,243.043,.13,181.5,1.34
2002m12,248.21,-.56,181.8,1.24
2003m1,255.846666666667,.36000001,182.60001,1.24
2003m2,258.588947368421,-.44999999,183.60001,1.26
2003m3,260.974761904762,-.15000001,183.89999,1.25
2003m4,258.790476190476,-.66000003,183.2,1.26
2003m5,257.653333333333,.0099999998,182.89999,1.26
2003m6,260.473333333333,.14,183.10001,1.22
2003m7,263.765,.090000004,183.7,1.01
2003m8,263.988095238095,-.12,184.5,1.03
2003m9,273.235714285714,.30000001,185.10001,1.01
2003m10,291.17652173913,.15000001,184.89999,1.01
2003m11,295.875555555556,.50999999,185,1
2003m12,302.295714285714,-.02,185.5,.98000002
2004m1,312.239473684211,.1,186.3,1
2004m2,309.537368421053,.44,186.7,1.01
2004m3,316.773043478261,.49000001,187.10001,1
2004m4,318.517619047619,.1,187.39999,1
2004m5,312.9835,.57999998,188.2,1
2004m6,308.404285714286,-.31,188.89999,1.03
2004m7,308.837619047619,.46000001,189.10001,1.26
2004m8,307.538636363636,.28999999,189.2,1.4299999
2004m9,315.25380952381,.15000001,189.8,1.61
2004m10,315.128095238095,.47999999,190.8,1.76
2004m11,320.519,-.0099999998,191.7,1.9299999
2004m12,322.654761904762,.80000001,191.7,2.1600001
2005m1,320.945,.23999999,191.60001,2.28
2005m2,324.574210526316,.36000001,192.39999,2.5
2005m3,333.309545454545,-.28999999,193.10001,2.6300001
2005m4,336.680952380952,.55000001,193.7,2.79
2005m5,331.985238095238,.0099999998,193.60001,3
2005m6,331.880909090909,.36000001,193.7,3.04
2005m7,325.2925,-.039999999,194.89999,3.26
2005m8,324.516086956522,.2,196.10001,3.5
2005m9,329.357142857143,-.56,198.8,3.6199999
2005m10,332.79,.63999999,199.10001,3.78
2005m11,332.8345,.68000001,198.10001,4
2005m12,349.530952380952,.34999999,198.10001,4.1599998
2006m1,363.045,.46000001,199.3,4.29
2006m2,370.998947368421,.079999998,199.39999,4.4899998
2006m3,372.076956521739,.2,199.7,4.5900002
2006m4,385.693157894737,-.050000001,200.7,4.79
2006m5,400.624090909091,-.029999999,201.3,4.9400001
2006m6,399.974545454545,.039999999,201.8,4.9899998
2006m7,403.501,-.25999999,202.89999,5.2399998
2006m8,403.899565217391,.17,203.8,5.25
2006m9,403.189,-.0099999998,202.8,5.25
2006m10,415.755909090909,-.23999999,201.89999,5.25
2006m11,426.669,-.16,202,5.25
2006m12,434.2465,.75,203.10001,5.2399998
2007m1,430.872,-.51999998,203.437,5.25
2007m2,434.538421052632,.22,204.226,5.2600002
2007m3,452.810454545455,.25,205.28799,5.2600002
2007m4,465.372,-.090000004,205.90401,5.25
2007m5,468.439090909091,.02,206.755,5.25
2007m6,475.749523809524,-.050000001,207.23399,5.25
2007m7,485.362857142857,-.34999999,207.603,5.2600002
2007m8,478.471304347826,-.07,207.66701,5.02
2007m9,483.086315789474,-.0099999998,208.547,4.9400001
2007m10,492.432608695652,-.31999999,209.19,4.7600002
2007m11,486.68,-.059999999,210.834,4.4899998
2007m12,475.954,-.44999999,211.44501,4.2399998
2008m1,478.211428571429,-.28,212.174,3.9400001
2008m2,492.468,-.75,212.687,2.98
2008m3,514.678,-.75,213.448,2.6099999
2008m4,518.310909090909,-.67000002,213.942,2.28
2008m5,514.495714285714,-.79000002,215.20799,1.98
2008m6,497.850476190476,-.69999999,217.463,2
2008m7,494.795454545454,-1.24,219.01601,2.01
2008m8,475.598095238095,-1.2,218.69,2
2008m9,453.85,-2.51,218.877,1.8099999
2008m10,397.281739130435,-1.1,216.995,.97000003
2008m11,351.656842105263,-2.27,213.153,.38999999
2008m12,323.775909090909,-2.6500001,211.39799,.16
2009m1,338.907,-2.8599999,211.933,.15000001
2009m2,338.560526315789,-1.22,212.705,.22
2009m3,331.780909090909,-2.26,212.495,.18000001
2009m4,354.768095238095,-1.54,212.709,.15000001
2009m5,377.987,-1.1,213.022,.18000001
